p,official_penalty,official_accept_payoff,official_prefers_accept
0.09,60,14.600000000000001,True
0.09,65,14.15,True
0.09,70,13.7,True
0.09,75,13.25,True
0.09,80,12.8,True
0.09,85,12.350000000000001,True
0.09,90,11.9,True
0.09,95,11.450000000000001,True
0.09,100,11.0,True
0.09,105,10.55,True
0.09,110,10.1,True
0.09,115,9.65,True
0.09,120,9.200000000000001,True
0.09,125,8.75,True
0.09,130,8.3,True
0.09,135,7.85,True
0.09,140,7.4,True
0.09,145,6.950000000000001,True
0.09,150,6.5,True
0.09,155,6.050000000000001,True
0.09,160,5.600000000000001,True
0.09,165,5.15,True
0.09,170,4.700000000000001,True
0.09,175,4.25,True
0.09,180,3.8000000000000007,True
0.09,185,3.3500000000000014,True
0.09,190,2.900000000000002,True
0.09,195,2.4499999999999993,True
0.09,200,2.0,True
0.09,205,1.5500000000000007,True
0.09,210,1.1000000000000014,True
0.09,215,0.6500000000000021,True
0.09,220,0.1999999999999993,True
0.09,225,-0.25,False
0.09,230,-0.6999999999999993,False
0.09,235,-1.1499999999999986,False
0.09,240,-1.5999999999999979,False
0.09,245,-2.0500000000000007,False
0.09,250,-2.5,False
0.09,255,-2.9499999999999993,False
0.09,260,-3.3999999999999986,False
0.09,265,-3.849999999999998,False
0.09,270,-4.300000000000001,False
0.09,275,-4.75,False
0.09,280,-5.199999999999999,False
0.09,285,-5.649999999999999,False
0.09,290,-6.099999999999998,False
0.09,295,-6.550000000000001,False
0.09,300,-7.0,False
0.09,305,-7.449999999999999,False
0.09,310,-7.899999999999999,False
0.09,315,-8.349999999999998,False
0.09,320,-8.799999999999997,False
0.09,325,-9.25,False
0.09,330,-9.7,False
0.09,335,-10.149999999999999,False
0.09,340,-10.599999999999998,False
0.09,345,-11.049999999999997,False
0.09,350,-11.5,False
0.09,355,-11.95,False
0.09,360,-12.399999999999999,False
0.09,365,-12.850000000000001,False
0.09,370,-13.299999999999997,False
0.09,375,-13.75,False
0.09,380,-14.199999999999996,False
0.09,385,-14.649999999999999,False
0.09,390,-15.100000000000001,False
0.09,395,-15.549999999999997,False
0.09,400,-16.0,False
0.09,405,-16.449999999999996,False
0.09,410,-16.9,False
0.09,415,-17.35,False
0.09,420,-17.799999999999997,False
0.09,425,-18.25,False
0.09,430,-18.699999999999996,False
0.09,435,-19.15,False
0.09,440,-19.6,False
0.09,445,-20.049999999999997,False
0.09,450,-20.5,False
0.09,455,-20.949999999999996,False
0.09,460,-21.4,False
0.09,465,-21.85,False
0.09,470,-22.299999999999997,False
0.09,475,-22.75,False
