firm_id,tender_id,propensity_to_bribe,failure_lambda,eligible_loser,round,regime
T060_F4,60,0.625,0.25735470941883765,True,1,Pre-reform
T060_F5,60,0.5,0.25781563126252505,True,1,Pre-reform
T061_F1,61,0.625,0.25827655310621245,True,1,Pre-reform
T061_F2,61,0.5,0.2587374749498998,False,1,Pre-reform
T061_F3,61,0.5,0.25919839679358714,True,1,Pre-reform
T061_F4,61,0.5,0.25965931863727454,True,1,Pre-reform
T061_F5,61,0.5,0.26012024048096194,True,1,Pre-reform
T062_F1,62,0.5,0.2605811623246493,True,1,Pre-reform
T062_F2,62,0.5,0.26104208416833663,False,1,Pre-reform
T062_F3,62,0.625,0.26150300601202403,True,1,Pre-reform
T062_F4,62,0.5,0.26196392785571143,True,1,Pre-reform
T062_F5,62,0.5,0.2624248496993988,True,1,Pre-reform
T063_F1,63,0.5,0.2628857715430861,True,1,Pre-reform
T063_F2,63,0.5,0.2633466933867735,True,1,Pre-reform
T063_F3,63,0.625,0.2638076152304609,True,1,Pre-reform
T063_F4,63,0.5,0.2642685370741483,False,1,Pre-reform
T063_F5,63,0.5,0.26472945891783567,True,1,Pre-reform
T064_F1,64,0.5,0.265190380761523,False,1,Pre-reform
T064_F2,64,0.625,0.2656513026052104,True,1,Pre-reform
T064_F3,64,0.5,0.2661122244488978,True,1,Pre-reform
T064_F4,64,0.5,0.26657314629258516,True,1,Pre-reform
T064_F5,64,0.5,0.2670340681362725,True,1,Pre-reform
T065_F1,65,0.5,0.2674949899799599,True,1,Pre-reform
T065_F2,65,0.625,0.2679559118236473,True,1,Pre-reform
T065_F3,65,0.5,0.26841683366733465,True,1,Pre-reform
T065_F4,65,0.5,0.268877755511022,True,1,Pre-reform
T065_F5,65,0.5,0.2693386773547094,False,1,Pre-reform
T066_F1,66,0.5,0.2697995991983968,True,1,Pre-reform
T066_F2,66,0.625,0.27026052104208415,True,1,Pre-reform
T066_F3,66,0.5,0.2707214428857715,False,1,Pre-reform
T066_F4,66,0.5,0.2711823647294589,True,1,Pre-reform
T066_F5,66,0.5,0.2716432865731463,True,1,Pre-reform
T067_F1,67,0.5,0.2721042084168337,True,1,Pre-reform
T067_F2,67,0.5,0.27256513026052104,True,1,Pre-reform
T067_F3,67,0.5,0.2730260521042084,True,1,Pre-reform
T067_F4,67,0.625,0.2734869739478958,True,1,Pre-reform
T067_F5,67,0.5,0.2739478957915832,False,1,Pre-reform
T068_F1,68,0.5,0.27440881763527053,False,1,Pre-reform
T068_F2,68,0.625,0.2748697394789579,True,1,Pre-reform
T068_F3,68,0.5,0.2753306613226453,True,1,Pre-reform
T068_F4,68,0.5,0.2757915831663327,True,1,Pre-reform
T068_F5,68,0.5,0.27625250501002,True,1,Pre-reform
T069_F1,69,0.625,0.27671342685370737,True,1,Pre-reform
T069_F2,69,0.5,0.27717434869739477,True,1,Pre-reform
T069_F3,69,0.5,0.27763527054108217,True,1,Pre-reform
T069_F4,69,0.5,0.2780961923847695,False,1,Pre-reform
T069_F5,69,0.5,0.2785571142284569,True,1,Pre-reform
T070_F1,70,0.5,0.27901803607214426,True,1,Pre-reform
T070_F2,70,0.625,0.27947895791583166,True,1,Pre-reform
T070_F3,70,0.5,0.27993987975951906,True,1,Pre-reform
T070_F4,70,0.5,0.2804008016032064,False,1,Pre-reform
T070_F5,70,0.5,0.28086172344689375,True,1,Pre-reform
T071_F1,71,0.5,0.28132264529058115,True,1,Pre-reform
T071_F2,71,0.5,0.28178356713426855,False,1,Pre-reform
T071_F3,71,0.625,0.2822444889779559,True,1,Pre-reform
T071_F4,71,0.5,0.28270541082164324,True,1,Pre-reform
T071_F5,71,0.5,0.28316633266533064,True,1,Pre-reform
T072_F1,72,0.5,0.28362725450901805,True,1,Pre-reform
T072_F2,72,0.5,0.2840881763527054,True,1,Pre-reform
T072_F3,72,0.625,0.28454909819639274,True,1,Pre-reform
T072_F4,72,0.5,0.28501002004008014,True,1,Pre-reform
T072_F5,72,0.5,0.28547094188376754,False,1,Pre-reform
T073_F1,73,0.5,0.2859318637274549,True,1,Pre-reform
T073_F2,73,0.5,0.2863927855711423,False,1,Pre-reform
T073_F3,73,0.5,0.28685370741482963,True,1,Pre-reform
T073_F4,73,0.625,0.28731462925851703,True,1,Pre-reform
T073_F5,73,0.5,0.28777555110220443,True,1,Pre-reform
T074_F1,74,0.625,0.2882364729458918,True,1,Pre-reform
T074_F2,74,0.5,0.2886973947895791,True,1,Pre-reform
T074_F3,74,0.5,0.2891583166332665,True,1,Pre-reform
T074_F4,74,0.5,0.2896192384769539,False,1,Pre-reform
T074_F5,74,0.5,0.29008016032064127,True,1,Pre-reform
T075_F1,75,0.5,0.2905410821643286,False,1,Pre-reform
T075_F2,75,0.5,0.291002004008016,True,1,Pre-reform
T075_F3,75,0.625,0.2914629258517034,True,1,Pre-reform
T075_F4,75,0.5,0.29192384769539076,True,1,Pre-reform
T075_F5,75,0.5,0.2923847695390781,True,1,Pre-reform
T076_F1,76,0.5,0.2928456913827655,True,1,Pre-reform
T076_F2,76,0.625,0.2933066132264529,True,1,Pre-reform
T076_F3,76,0.5,0.2937675350701403,True,1,Pre-reform
T076_F4,76,0.5,0.29422845691382765,True,1,Pre-reform
T076_F5,76,0.5,0.294689378757515,False,1,Pre-reform
T077_F1,77,0.5,0.2951503006012024,False,1,Pre-reform
T077_F2,77,0.5,0.2956112224448898,True,1,Pre-reform
T077_F3,77,0.5,0.29607214428857714,True,1,Pre-reform
T077_F4,77,0.5,0.2965330661322645,True,1,Pre-reform
T077_F5,77,0.625,0.2969939879759519,True,1,Pre-reform
T078_F1,78,0.5,0.2974549098196393,True,1,Pre-reform
T078_F2,78,0.5,0.29791583166332664,True,1,Pre-reform
T078_F3,78,0.5,0.298376753507014,True,1,Pre-reform
T078_F4,78,0.5,0.2988376753507014,False,1,Pre-reform
T078_F5,78,0.625,0.2992985971943888,True,1,Pre-reform
T079_F1,79,0.625,0.2997595190380761,True,1,Pre-reform
T079_F2,79,0.5,0.3002204408817635,True,1,Pre-reform
T079_F3,79,0.5,0.3006813627254509,False,1,Pre-reform
T079_F4,79,0.5,0.3011422845691383,True,1,Pre-reform
T079_F5,79,0.5,0.3016032064128257,True,1,Pre-reform
T080_F1,80,0.5,0.302064128256513,True,1,Pre-reform
T080_F2,80,0.5,0.30252505010020037,True,1,Pre-reform
T080_F3,80,0.5,0.30298597194388777,True,1,Pre-reform
T080_F4,80,0.625,0.30344689378757517,True,1,Pre-reform
T080_F5,80,0.5,0.3039078156312625,False,1,Pre-reform
T081_F1,81,0.625,0.30436873747494986,True,1,Pre-reform
T081_F2,81,0.5,0.30482965931863726,True,1,Pre-reform
T081_F3,81,0.5,0.30529058116232466,True,1,Pre-reform
T081_F4,81,0.5,0.305751503006012,True,1,Pre-reform
T081_F5,81,0.5,0.30621242484969935,False,1,Pre-reform
T082_F1,82,0.5,0.30667334669338675,False,1,Pre-reform
T082_F2,82,0.5,0.30713426853707415,True,1,Pre-reform
T082_F3,82,0.5,0.3075951903807615,True,1,Pre-reform
T082_F4,82,0.625,0.3080561122244489,True,1,Pre-reform
